"","group","sex","Mean","SD"
"1","Control","Female",2.82924006719261,2.40665682756869
"2","Control","Male",2.10005059901641,1.35522118778568
"3","Treatment","Female",2.98937059852053,2.54002060767232
"4","Treatment","Male",2.93281943329425,3.58120063691828
